summoner_name,played_with,won_with,played_against,lost_against,last_played,date
ironsuperhulk,30.0,14,0,0,Gnar,8-5-2022 13:2
Jeeveezee,29.0,13,0,0,Gnar,8-5-2022 13:2
yvan i am,21.0,11,0,0,Gnar,8-5-2022 13:2
BluezamX,15.0,7,0,0,Gnar,8-5-2022 13:2
impreg the keg,10.0,4,0,0,Gnar,8-5-2022 13:2
MCB Sensific,10.0,4,0,0,Sion,0
ad2345y6,2.0,2,0,0,Swain,8-5-2022 13:1
Salsin,2.0,2,0,0,Swain,8-5-2022 13:1
Papi Avil,2.0,2,0,0,LeeSin,8-5-2022 13:1
Din4z,2.0,2,0,0,LeeSin,8-5-2022 13:1
Zionga666,2.0,0,0,0,Malphite,8-5-2022 13:1
Eagle253,2.0,0,0,0,Malphite,8-5-2022 13:1
elecdragon,1.0,1,0,0,Sett,0
Pudingham,1.0,1,0,0,Sion,0
ProblemLoco,1.0,1,0,0,Jax,0
MySweet Darling,1.0,1,0,0,Singed,0
HeavenByakuren,1.0,1,0,0,Jax,0
HIPPOrising,1.0,1,0,0,Kaisa,0
Enylad,1.0,1,0,0,Jax,0
Andreje19,1.0,1,0,0,Sion,0
AVince,1.0,1,0,0,Kaisa,0
valoitras,1.0,0,0,0,Ryze,0
imperdibleism,1.0,0,0,0,Kaisa,0
TorkhanLunique,1.0,0,0,0,Kaisa,0
ShnoupSs,1.0,0,0,0,Udyr,0
PARTICHELA,1.0,0,0,0,Ezreal,0
Noastrid,1.0,0,0,0,Ezreal,0
Niruvia,1.0,0,0,0,Udyr,0
KataStrophically,1.0,0,0,0,Kled,23-4-2022 20:40
Kai Blue,1.0,0,0,0,Akshan,0
Jin àir Dràçulà,1.0,0,0,0,Gragas,0
Finally Resolute,1.0,0,0,0,Gragas,0
Chillyc0nCarne,1.0,0,0,0,Akshan,0
Buijze,1.0,0,0,0,Akshan,0
Aidivni,1.0,0,0,0,Kled,23-4-2022 20:40
xArt3loSx,0.0,0,1,1,Malphite,0
valquirit26,0.0,0,1,1,Heimerdinger,0
vNooRzz,0.0,0,2,2,Kaisa,8-5-2022 13:1
slovenian master,0.0,0,1,0,Twitch,0
slagtermike,0.0,0,1,0,Illaoi,0
skinwalker87,0.0,0,1,0,Katarina,0
semigod02,0.0,0,2,0,Zeri,8-5-2022 13:1
purgafire,0.0,0,1,1,Heimerdinger,0
ove persson,0.0,0,2,2,Warwick,8-5-2022 13:1
estevepayeras,0.0,0,1,0,Zed,0
erekcius,0.0,0,1,0,Katarina,0
boran341,0.0,0,1,0,Zilean,0
bareps44,0.0,0,1,0,Zilean,0
auriondudu,0.0,0,1,1,Renekton,0
alleop98,0.0,0,1,0,Zed,0
abdo502,0.0,0,2,0,Jinx,8-5-2022 13:2
Zii1,0.0,0,2,0,Jinx,8-5-2022 13:2
ZK69 Phase02,0.0,0,2,2,Akali,8-5-2022 13:1
Yakkea,0.0,0,2,0,Ezreal,8-5-2022 13:1
XXXX Louay XX,0.0,0,2,0,Zeri,8-5-2022 13:1
ViciousSylvan,0.0,0,1,0,Illaoi,0
Unsterblicht,0.0,0,1,1,Renekton,0
Trankar,0.0,0,1,1,Ezreal,0
Tomterumpa,0.0,0,1,1,Yasuo,0
TheSwimmingDuck,0.0,0,1,0,Illaoi,0
TheKiller8231,0.0,0,1,1,Heimerdinger,0
The Voïd,0.0,0,2,2,Kaisa,8-5-2022 13:1
Sukis,0.0,0,1,1,Elise,0
Stealth Boy,0.0,0,1,0,Soraka,0
SouthSandwichIs,0.0,0,2,0,Swain,8-5-2022 13:1
SolidSand,0.0,0,2,2,Warwick,8-5-2022 13:1
SinfulMan,0.0,0,1,1,Brand,0
Simke2090,0.0,0,2,0,Ezreal,8-5-2022 13:1
Siggy Stardust,0.0,0,1,1,Renekton,0
SiggatronPrime,0.0,0,2,0,Swain,8-5-2022 13:1
Shame4U,0.0,0,3,1,Zeri,8-5-2022 13:1
Shaclone,0.0,0,1,1,Kaisa,23-4-2022 20:40
Setsna,0.0,0,1,0,Zilean,0
SeeYaTom0rrow,0.0,0,1,1,Yasuo,0
Schinichii,0.0,0,2,2,Katarina,8-5-2022 13:1
Satanedge,0.0,0,1,0,Soraka,0
Sariella,0.0,0,1,1,Kaisa,23-4-2022 20:40
Saikithehighkick,0.0,0,1,0,Twitch,0
Sackoru,0.0,0,2,2,Kaisa,8-5-2022 13:1
SCHATTENWOLFI,0.0,0,1,0,Soraka,0
Ricino78,0.0,0,2,0,Ezreal,8-5-2022 13:1
Quegou,0.0,0,2,2,Warwick,8-5-2022 13:1
Put4 AsheWith TP,0.0,0,1,0,Twitch,0
Plopps03,0.0,0,2,2,Katarina,8-5-2022 13:1
Play l Soun,0.0,0,1,1,Heimerdinger,0
PlatNuhman,0.0,0,2,0,Swain,8-5-2022 13:1
PizzaNicke,0.0,0,1,1,Yasuo,0
Pascal345,0.0,0,1,0,Soraka,0
PantheloBoss,0.0,0,2,2,Akali,8-5-2022 13:1
Otakustario,0.0,0,1,0,Katarina,0
Onicz,0.0,0,1,0,Zed,0
OTPG4NGPLANK,0.0,0,2,2,Akali,8-5-2022 13:1
Nomàd,0.0,0,1,1,Heimerdinger,0
NautiIus,0.0,0,1,1,Brand,0
MrGeronimo,0.0,0,1,0,Zilean,0
Mejikal,0.0,0,1,0,Twitch,0
MaxPlame,0.0,0,2,2,Katarina,8-5-2022 13:1
Mart1ns,0.0,0,1,1,Ezreal,0
Mad Men Astro,0.0,0,2,0,Jinx,8-5-2022 13:2
Lentivirus,0.0,0,2,0,Ezreal,8-5-2022 13:1
Le Gros Chacal,0.0,0,1,0,Katarina,0
Land Reform,0.0,0,2,2,Katarina,8-5-2022 13:1
L9 Poggers,0.0,0,1,1,Brand,0
KuNazu,0.0,0,2,0,Swain,8-5-2022 13:1
Krumblemaster,0.0,0,2,2,Katarina,8-5-2022 13:1
Kr4meur,0.0,0,2,0,Jinx,8-5-2022 13:2
Koronal Yooo,0.0,0,1,1,Ezreal,0
Knäväxter,0.0,0,1,1,Brand,0
King Of Heroin,0.0,0,1,1,Renekton,0
Kha ZVI,0.0,0,1,0,Soraka,0
Kataritrash,0.0,0,1,0,Katarina,0
Jason Meff,0.0,0,1,1,Elise,0
Jakejamhon,0.0,0,1,1,Elise,0
Imortalkiller200,0.0,0,1,1,Elise,0
I Am Not Draven,0.0,0,1,1,Ezreal,0
HyperrXV,0.0,0,1,1,Yasuo,0
Henrik242,0.0,0,1,1,Malphite,0
Gusinet,0.0,0,2,2,Akali,8-5-2022 13:1
Guingan,0.0,0,2,2,Kaisa,8-5-2022 13:1
Greker,0.0,0,1,0,Zed,0
Ghandi The Great,0.0,0,1,0,Illaoi,0
Ger0j,0.0,0,1,1,Malphite,0
GeneraI Onyx,0.0,0,1,1,Yasuo,0
G0dlikexX08,0.0,0,2,0,Ezreal,8-5-2022 13:1
FögglA,0.0,0,1,1,Renekton,0
Fuiadto,0.0,0,1,1,Elise,0
FufiGirl,0.0,0,2,2,Kaisa,8-5-2022 13:1
Frogui Rash,0.0,0,2,0,Zeri,8-5-2022 13:1
Fozzi,0.0,0,1,1,Malphite,0
FPW Söhei,0.0,0,2,2,Akali,8-5-2022 13:1
Erke,0.0,0,1,0,Zed,0
EdoTenseiIRiven,0.0,0,1,1,Kaisa,23-4-2022 20:40
DoinItStoned,0.0,0,1,0,Zilean,0
D Sky NC ,0.0,0,2,0,Swain,8-5-2022 13:1
Clivils,0.0,0,1,1,Ezreal,0
CHILAsacu,0.0,0,1,0,Twitch,0
C9 Oden,0.0,0,1,1,Brand,0
Bnn,0.0,0,2,2,Warwick,8-5-2022 13:1
BadShadow98,0.0,0,2,0,Zeri,8-5-2022 13:1
Aniedunai,0.0,0,1,1,Kaisa,23-4-2022 20:40
Affelito,0.0,0,2,2,Warwick,8-5-2022 13:1
Achraf hero,0.0,0,2,0,Jinx,8-5-2022 13:2
7GoldenBear7,0.0,0,1,0,Illaoi,0
1 S A T E L L A ,0.0,0,1,1,Kaisa,23-4-2022 20:40
